Sample_ID,Truck_Mass_t,Vehicles_Per_Day,Steel_Yield_Strength_MPa,Stress_Amplitude_MPa,SN_Coefficient_C,SN_Exponent_m,Cycles_Per_Day
1,38.14,4067,358.5,132.33,9.29995E+11,3.097,8134
2,25.2,4254,310.6,99.83,7.78553E+11,3.259,8508
3,28.2,4267,332.9,77.11,9.02068E+11,3.099,8534
4,30.45,4240,322.2,120.68,9.08103E+11,3.111,8480
5,23.27,4266,356.8,73.5,9.73875E+11,3.298,8532
6,28.01,4264,350.1,90.43,7.71479E+11,3.114,8528
7,27.99,4134,359.9,122.82,1.09E+12,2.677,8268
8,17.47,4247,375.4,85.25,7.16039E+11,3.3,8494
9,34.11,4198,346.8,91.67,9.4086E+11,3.266,8396
10,31.6,4264,367.7,83.81,6.57801E+11,2.945,8528
11,24.25,4222,373.4,114.12,1.01512E+12,2.935,8444
12,26.97,4182,380,86.77,8.4412E+11,3.053,8364
13,31.03,4045,292.1,80.51,6.72154E+11,2.915,8090
14,26.43,4223,330.5,97.44,1.11365E+12,2.885,8446
15,26.54,4247,380,90.2,1.03051E+12,3.331,8494
16,19.28,4156,385.1,77.08,9.2664E+11,2.739,8312
17,31.33,4154,314,124.93,1.02633E+12,2.794,8308
18,28.74,4175,346.2,96.4,8.97723E+11,3.089,8350
19,29.65,4247,348.8,95.1,9.37386E+11,2.98,8494
20,18.84,4192,343.9,103.69,1.08383E+12,3.222,8384
21,37.9,4320,370.6,128.29,8.83256E+11,3.116,8640
22,28.93,4173,372.7,93.94,1.06743E+12,2.896,8346
23,25.68,4171,377.9,124.67,1.07808E+12,2.971,8342
24,40.17,4285,397.7,95.6,1.09936E+12,2.968,8570
25,27.73,4200,389,96.81,1.02845E+12,2.778,8400
26,19.3,4224,375.1,92.01,8.58479E+11,3.111,8448
27,25.57,4271,374.7,116.47,9.29269E+11,2.596,8542
28,14.27,4070,380.4,111.63,1.17914E+12,2.915,8140
29,34.3,4285,350.7,104.74,9.0019E+11,3.071,8570
30,25.5,4242,333.5,91.23,1.23481E+12,3.118,8484
31,23.54,4244,346,82.33,9.02525E+11,3.141,8488
32,34.43,4209,369.4,81.19,8.27121E+11,3.01,8418
33,18.09,4217,351,81.61,1.15118E+12,2.879,8434
34,31.21,4151,347.5,103.84,1.02794E+12,2.598,8302
35,15.61,4128,343.7,84.92,9.53042E+11,2.728,8256
36,24.03,4261,340,129.78,1.34034E+12,2.967,8522
37,20.77,4178,335,76.55,9.10635E+11,2.601,8356
38,36.77,4232,337.5,77.73,8.2133E+11,2.801,8464
39,38.6,4139,324.8,74.07,8.30347E+11,2.691,8278
40,26.02,4200,349.5,105.45,1.03678E+12,2.943,8400
41,33.04,4263,394.6,88.18,1.0578E+12,2.878,8526
42,26.92,4137,352.9,89.27,9.91336E+11,2.989,8274
43,31.41,4196,395.3,87.41,9.92337E+11,3.173,8392
44,23.48,4257,359.6,121.01,1.12896E+12,2.666,8514
45,17.75,4301,343.6,73.42,9.04673E+11,3.111,8602
46,17.18,4179,357.1,121,1.0545E+12,2.907,8358
47,30.3,4127,395.9,89.28,1.00653E+12,2.794,8254
48,41.49,4248,390.1,134.84,9.97712E+11,2.85,8496
49,29.62,4256,342.4,92.94,1.00136E+12,3.087,8512
50,24.85,4154,365.8,70.48,7.48673E+11,3.234,8308
51,39.47,4179,389.1,114.12,8.2322E+11,2.995,8358
52,29.42,4248,368,97.58,9.86813E+11,3.109,8496
53,28.61,4225,343.2,76.77,9.58394E+11,3.184,8450
54,29.52,4149,325,72.86,9.18125E+11,3.041,8298
55,27.21,4236,334.8,112.68,6.8079E+11,2.984,8472
56,26.14,4254,313.3,98.48,1.02225E+12,2.731,8508
57,19.39,4291,316.2,98.17,9.15162E+11,3.304,8582
58,31.01,4216,351.8,89.27,7.18814E+11,2.854,8432
59,27.43,4250,343.6,85.48,1.25999E+12,2.733,8500
60,35.16,4216,391.5,111.34,1.17333E+12,2.864,8432
61,25.79,4270,359.9,66.59,1.041E+12,2.965,8540
62,16.56,4281,392.5,105.57,9.70342E+11,3.066,8562
63,27.4,4205,368.9,110.83,7.80617E+11,2.665,8410
64,38.2,4228,378.8,96.01,1.19663E+12,2.504,8456
65,25.7,4124,392.7,104.54,1.20388E+12,3.111,8248
66,22.66,4132,358.1,130.03,7.05071E+11,2.956,8264
67,20.84,4231,338.1,101.65,9.22671E+11,2.718,8462
68,21.7,4088,342.2,92.82,9.40463E+11,3.218,8176
69,26.2,4267,360.4,104.24,9.03908E+11,3.068,8534
70,20.92,4261,428.5,154.76,8.7641E+11,3.182,8522
71,36.99,4292,358,67.36,8.9606E+11,2.569,8584
72,26.3,4216,331.2,94.57,9.47153E+11,3.025,8432
73,28.65,4231,367,65.54,1.1906E+12,2.985,8462
74,36.63,4228,377,91.93,8.72231E+11,2.78,8456
75,37.02,4182,346.7,107.76,1.21033E+12,3.075,8364
76,26.72,4174,371.1,92.14,9.95294E+11,2.772,8348
77,29.99,4248,322.8,82.54,1.12931E+12,3.136,8496
78,32.41,4118,352.8,122.8,9.82455E+11,3.384,8236
79,26.84,4162,392.4,90.45,8.81971E+11,3.188,8324
80,17.33,4310,347.1,85.86,9.89011E+11,3.07,8620
81,31.93,4167,327.1,92.75,1.00191E+12,2.706,8334
82,33.37,4149,314.3,88.42,9.88201E+11,3.059,8298
83,30.49,4076,318.8,109.21,9.50511E+11,2.794,8152
84,22.46,4285,385,114.17,1.05186E+12,2.958,8570
85,26.82,4276,349.2,92.88,1.00619E+12,2.793,8552
86,24.46,4155,414.6,96.69,9.8261E+11,2.969,8310
87,26.2,4181,384,100.55,1.07103E+12,2.969,8362
88,35.78,4220,401.1,106.93,1.04841E+12,3.004,8440
89,37.18,4324,281.7,86.86,6.70657E+11,2.998,8648
90,32.02,4163,372.4,85.48,9.46586E+11,2.955,8326
91,31.29,4327,385.4,105.24,9.35672E+11,3.222,8654
92,32.06,4256,359.9,72.68,8.97631E+11,2.941,8512
93,27.93,4274,356.4,77.61,9.27644E+11,2.802,8548
94,27.55,4189,330.7,101.12,1.19597E+12,3.14,8378
95,23.96,4325,323.1,75.89,9.69976E+11,2.812,8650
96,27.66,4296,364,101.79,1.02009E+12,2.68,8592
97,41.56,4101,357.7,81.95,1.03735E+12,3.367,8202
98,33.21,4220,353.9,90.07,8.5916E+11,2.889,8440
99,25.95,4163,359.8,130.33,1.08239E+12,3.103,8326
